sn,experiment,a11,a12,a13,a21,a22,a23,a31,a32,a33,a41,a42,a43,r11,r12,r13,r21,r22,r23,r31,r32,r33,r41,r42,r43,drecall11,drecall12,drecall13,drecall21,drecall22,drecall23,drecall31,drecall32,drecall33,drecall41,drecall42,drecall43,drecallDblExp11,drecallDblExp12,drecallDblExp13,drecallDblExp21,drecallDblExp22,drecallDblExp23,drecallDblExp31,drecallDblExp32,drecallDblExp33,drecallDblExp41,drecallDblExp42,drecallDblExp43,drecog11,drecog12,drecog13,drecog21,drecog22,drecog23,drecog31,drecog32,drecog33,drecog41,drecog42,drecog43,oriented_RED,unoriented_BLACK,delRec_Oriented,delRec_unoriented,delRec_unoriented_noCntrl
1091,1,0.9,0.69,0.76,0.82,0.9,0.83,0.74,0.47,0.93,0.8,0.88,0.89,442,509,420,507,462,440,492,491,402,481,482,428,0,0,0.02,0,0,0,0.03,0.03,0,0,0,0,0,0,0.06,0,0,0.04,0.05,0.05,0,0,0.06,0.05, , , , , , , , , , , , ,0,0.008888889, , , 
1092,1,0.81,0.94,1,0.79,0.93,0.86,0.72,0.87,1,0.75,0.88,0.94,752,914,844,1009,815,783,906,954,703,933,807,747,0,0,0,0.04,0,0,0.02,0.03,0.02,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0.06,0, , , , , , , , , , , , ,0.006666667,0.01, , , 
1093,1,0.81,0.86,0.87,0.71,0.75,0.93,0.71,0.86,0.94,0.53,0.67,0.88,583,578,490,585,556,461,661,575,466,680,577,479,0,0.03,0.05,0,0,0,0,0.04,0.02,0.02,0.02,0,0.06,0.05,0.07,0,0,0.07,0.07,0.05,0,0.05,0,0.04, , , , , , , , , , , , ,0.006666667,0.017777778, , , 
1094,1,0.91,0.92,0.85,0.85,1,1,0.94,0.89,0.94,0.92,0.87,0.93,695,651,666,771,692,636,710,718,672,698,756,754,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.05,0,0,0,0,0,0.04,0,0, , , , , , , , , , , , ,0,0.002222222, , , 
1095,1,0.94,0.92,0.92,0.76,0.93,0.95,0.94,0.67,0.91,0.85,0.94,1,603,686,571,661,593,576,667,621,531,691,533,575,0,0.03,0,0,0,0,0,0.03,0,0,0.06,0,0,0.04,0,0.06,0,0,0,0,0.05,0,0,0, , , , , , , , , , , , ,0,0.013333333, , , 
1096,1,0.75,0.88,0.84,0.71,0.82,1,0.8,0.67,1,0.94,0.85,0.96,645,617,542,633,602,607,611,631,502,633,642,589,0.03,0.03,0,0,0.02,0,0.05,0,0.06,0.02,0,0.04,0,0,0,0.05,0,0,0.07,0,0,0.13,0,0, , , , , , , , , , , , ,0.036666667,0.015555556, , , 
1097,1,0.68,0.71,0.69,0.83,0.89,0.92,0.65,0.87,0.93,0.76,0.8,0.89,545,516,441,560,498,459,594,580,465,503,560,439,0.02,0,0.03,0.02,0.02,0,0,0,0,0,0.03,0.02,0,0.05,0,0.17,0,0.04,0,0.13,0,0.04,0,0, , , , , , , , , , , , ,0.013333333,0.011111111, , , 
1098,1,1,0.77,0.86,0.88,0.79,0.92,0.84,0.84,0.88,0.83,0.81,0.84,509,531,550,520,534,497,485,506,464,530,593,477,0.02,0,0,0,0.03,0.03,0,0,0,0.03,0.03,0,0,0,0.07,0,0.07,0.08,0,0,0.06,0.06,0,0, , , , , , , , , , , , ,0.016666667,0.01, , , 
1099,1,0.93,0.89,0.86,0.89,1,0.95,1,0.81,1,0.94,0.86,1,517,535,527,509,516,532,514,560,458,513,533,517,0,0.02,0,0,0.03,0,0.05,0,0.03,0.02,0.03,0,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0, , , , , , , , , , , , ,0.02,0.013333333, , , 
1100,1,0.89,1,1,0.89,0.9,0.93,1,0.89,0.95,0.91,0.92,1,530,572,546,611,585,641,602,572,511,579,553,525,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0.05,0.08,0, , , , , , , , , , , , ,0,0.004444444, , , 
